label,n,d,T,j,true,est,bias,q0,q1,bstd,covered,time
ours,50,3,100,0,-0.26267668028286395,-0.2682742285317987,-0.005597548248934769,-0.35067213778414386,-0.19373936075603285,0.041198736077452405,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23188889075096236,0.030787789531901588,-0.3310206143852629,-0.12050868012793528,0.057867076787488016,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.21498400146408891,0.047692678818775036,-0.316682555009808,-0.12717165279192744,0.04862528213772251,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2851717962742374,-0.022495115991373438,-0.3754318621664368,-0.20590694018709096,0.04865211347155272,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.29926033072860697,-0.03658365044574302,-0.37727542397456204,-0.23277496932403507,0.03844795920156371,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2768342743934264,-0.014157594110562444,-0.3630495222770416,-0.1679547414435038,0.047973150829151844,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25694784452712255,0.005728835755741402,-0.33401034305802507,-0.19236644173029138,0.03948005786446847,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23181735156752853,0.03085932871533542,-0.30861781690386375,-0.15864193510217137,0.038242378485043395,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2688774146279919,-0.006200734345127967,-0.33333372941642964,-0.19660155290685155,0.03800421817825358,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2804278295605717,-0.017751149277707767,-0.35853838373323815,-0.1980725768482883,0.04218697442288509,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2812036242159764,-0.01852694393311244,-0.387374828400823,-0.19475044779002912,0.0481485529674433,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27276487520210474,-0.01008819491924079,-0.3431000246983561,-0.17887076855936226,0.04435122817993672,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2916687333225976,-0.028992053039733623,-0.36314810611015136,-0.20177981739659065,0.04165606849929279,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2934886233006967,-0.030811943017832744,-0.36507474095508635,-0.2255905989005896,0.03660686657961889,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2688398563286913,-0.006163176045827334,-0.3593024032938129,-0.20952047226549464,0.043039093684145394,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3299440811891678,-0.06726740090630384,-0.454079429315831,-0.24627916666675245,0.0514620237884681,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2884917796317595,-0.02581509934889553,-0.39922590007267833,-0.20700311139888875,0.04867697291990239,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.33539085489389964,-0.07271417461103569,-0.41638886157725064,-0.26228428713683916,0.042199671637809404,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27284925515685576,-0.010172574873991813,-0.371721489703382,-0.19198323482203192,0.046401465406985,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27618630453913795,-0.013509624256274,-0.34078148222545845,-0.18065753591700426,0.04186480062289334,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24342322569989547,0.019253454582968482,-0.3548556050924005,-0.15821313649965343,0.046055446069674245,True,11982.835673570633
