label,n,d,T,j,est,true,bias,q0,q1,bstd,covered,singleW,time
ours,100,3,10,0,-0.00595203612152892,0.06479648110442306,-0.07074851722595198,-0.1082742805748374,0.11126128295060632,0.06106781927976392,True,False,50075.327996730804
ours,100,3,10,0,0.025486134814771477,0.06479648110442306,-0.039310346289651577,-0.07222743110949736,0.12967796836976989,0.05582991179133462,True,False,50075.327996730804
ours,100,3,10,0,0.10607628287018196,0.06479648110442306,0.041279801765758906,0.003008000061178856,0.20987367416321207,0.05107827893092584,True,False,50075.327996730804
ours,100,3,10,0,0.07834235938102652,0.06479648110442306,0.01354587827660346,-0.021975848661544624,0.16918451302609133,0.054644290710688756,True,False,50075.327996730804
ours,100,3,10,0,0.07069710826760403,0.06479648110442306,0.005900627163180974,-0.06317611769490461,0.21245862066288565,0.07495368102214156,True,False,50075.327996730804
ours,100,3,10,0,0.018599000458270544,0.06479648110442306,-0.04619748064615251,-0.070187492982156,0.14345054515557049,0.05907967321793493,True,False,50075.327996730804
ours,100,3,10,0,0.16752338873846445,0.06479648110442306,0.1027269076340414,0.06525151946329844,0.2787123302132015,0.05863305515535302,False,False,50075.327996730804
ours,100,3,10,0,0.07580089149196048,0.06479648110442306,0.011004410387537425,-0.074589037974679,0.2041726075486713,0.07733503339429412,True,False,50075.327996730804
ours,100,3,10,0,0.014052768019335906,0.06479648110442306,-0.05074371308508715,-0.08150147945713802,0.12491527019390349,0.052918750250354814,True,False,50075.327996730804
ours,100,3,10,0,0.07485089947060587,0.06479648110442306,0.010054418366182816,-0.058944831969153205,0.2033092290704882,0.06483734197192746,True,False,50075.327996730804
ours,100,3,10,0,0.10897452648515071,0.06479648110442306,0.04417804538072766,0.007037811435937074,0.24146557812122543,0.0524171648649676,True,False,50075.327996730804
ours,100,3,10,0,0.03125133146302754,0.06479648110442306,-0.033545149641395516,-0.0808266949853562,0.14723274325096636,0.06620251563905202,True,False,50075.327996730804
ours,100,3,10,0,-0.005828110482201568,0.06479648110442306,-0.07062459158662462,-0.1501096117438821,0.10715793096192722,0.07023083831081042,True,False,50075.327996730804
ours,100,3,10,0,-0.04552114846238302,0.06479648110442306,-0.11031762956680607,-0.16461014988536074,0.0688789982774671,0.0628709348943045,True,False,50075.327996730804
ours,100,3,10,0,-0.05372279578672068,0.06479648110442306,-0.11851927689114373,-0.19647231388109895,0.0979542408290677,0.08195634998661312,True,False,50075.327996730804
ours,100,3,10,0,0.01952133945012419,0.06479648110442306,-0.04527514165429887,-0.07815923849437395,0.12977772169253388,0.06425172550406542,True,False,50075.327996730804
ours,100,3,10,0,0.00843694440006991,0.06479648110442306,-0.05635953670435315,-0.10471634787433402,0.12663300447049827,0.06182062344401859,True,False,50075.327996730804
ours,100,3,10,0,0.0370670893762795,0.06479648110442306,-0.02772939172814356,-0.11130051997380568,0.1604046353486977,0.06545277494703793,True,False,50075.327996730804
ours,100,3,10,0,0.10422083822735417,0.06479648110442306,0.03942435712293112,-0.0010521527957741347,0.19481010605559637,0.054729163386869555,True,False,50075.327996730804
ours,100,3,10,0,0.025070674292253636,0.06479648110442306,-0.03972580681216942,-0.07592503197918378,0.14244324122609872,0.059990823868724424,True,False,50075.327996730804
ours,100,3,10,0,0.16310605045815563,0.06479648110442306,0.09830956935373257,0.028457727779854135,0.28572631959078243,0.06768827384357236,True,False,50075.327996730804
ours,100,3,10,0,0.08684997175658847,0.06479648110442306,0.022053490652165414,-0.04855724690321106,0.22794797581848147,0.08421270055163228,True,False,50075.327996730804
ours,100,3,10,0,0.0640563537086237,0.06479648110442306,-0.0007401273957993587,-0.08068600906635927,0.22451207730444286,0.07589332069035211,True,False,50075.327996730804
ours,100,3,10,0,0.02608640836540923,0.06479648110442306,-0.03871007273901383,-0.09229375564013745,0.13469085721037435,0.059093845206520015,True,False,50075.327996730804
ours,100,3,10,0,0.04125704757117902,0.06479648110442306,-0.023539433533244038,-0.054253850956455914,0.1408432766672647,0.05440135229522938,True,False,50075.327996730804
ours,100,3,10,0,0.006109440200506378,0.06479648110442306,-0.05868704090391668,-0.12367232876948822,0.10911164419265888,0.06103694558484934,True,False,50075.327996730804
ours,100,3,10,0,0.0956069616845882,0.06479648110442306,0.03081048058016514,-0.01798435784932525,0.18566252343941506,0.05163314424014421,True,False,50075.327996730804
ours,100,3,10,0,0.0249161665875543,0.06479648110442306,-0.039880314516868756,-0.07040740774733394,0.13797232287605105,0.059522150233070996,True,False,50075.327996730804
ours,100,3,10,0,-0.038054901762853775,0.06479648110442306,-0.10285138286727682,-0.1910229542632396,0.07729572479844674,0.07476274849276546,True,False,50075.327996730804
ours,100,3,10,0,0.02638912730104287,0.06479648110442306,-0.03840735380338019,-0.1385843066283093,0.20744613858028935,0.0815627297032325,True,False,50075.327996730804
ours,100,3,10,0,0.00833818121851694,0.06479648110442306,-0.056458299885906116,-0.11397202386147909,0.17242960743543065,0.07570884354628835,True,False,50075.327996730804
ours,100,3,10,0,0.06025508411669833,0.06479648110442306,-0.0045413969877247246,-0.055619968359171115,0.17703996152845913,0.05872350036639557,True,False,50075.327996730804
ours,100,3,10,0,-0.013057454186337364,0.06479648110442306,-0.07785393529076041,-0.09417718772197646,0.07846580450908613,0.046335975183849486,True,False,50075.327996730804
ours,100,3,10,0,0.030014209165936872,0.06479648110442306,-0.03478227193848618,-0.06910999575489597,0.15042681675747077,0.06457681986266856,True,False,50075.327996730804
ours,100,3,10,0,-0.036642379305545904,0.06479648110442306,-0.10143886040996897,-0.15817750597982164,0.14179709789428466,0.08187967884749853,True,False,50075.327996730804
ours,100,3,10,0,0.0832777537492442,0.06479648110442306,0.018481272644821148,-0.040942276131912224,0.21187185399808722,0.0657385572752462,True,False,50075.327996730804
