,t,IME,IME_q0,IME_q1,IME_std,IIME,IIME_q0,IIME_q1,IIME_std,DIME,DIME_q0,DIME_q1,DIME_std,sum,mediator,imp_iter
11,11,-0.005534870187500529,-0.01661910521562886,0.004999315213289545,0.006047725154833668,-0.007781647940229387,-0.02558550441515716,0.006797674557444428,0.008190887102593409,-0.00427133042043621,-0.024879984230404488,0.012256346023449133,0.009902927410324369,-0.012052978360665597,SLEEP_COUNT,4
12,12,-0.0069819506310739516,-0.01792528007547692,0.003878484542811502,0.006075066275209948,-0.015236652990973466,-0.03907718460055401,0.014253210463773543,0.013094784016925558,-0.009110262962981557,-0.024685995519006267,0.003925021882938126,0.007758809166967759,-0.024346915953955023,SLEEP_COUNT,4
13,13,-0.007062706490770713,-0.017573510523903057,0.004309760993413168,0.005994194433385067,0.003305178183925947,-0.006529593311578575,0.019201226028441955,0.0065742039101590035,-0.011417710850754572,-0.03126589807548437,0.007722696695337902,0.009804736657349693,-0.008112532666828626,SLEEP_COUNT,4
14,14,-0.00798978501496559,-0.018654632388939864,0.0039194181372405375,0.005852425719100775,-0.013739097582133802,-0.033468163712309394,-0.0022555163677108418,0.007957998828169189,-0.007229786771560064,-0.026296172101568857,0.009585166359799873,0.009397243874366822,-0.020968884353693866,SLEEP_COUNT,4
15,15,-0.008153276617363502,-0.019048391696994914,0.004032838280473873,0.005745819834016387,0.003520931094955431,-0.0022513266355056885,0.01362220100191549,0.003785144835492587,-0.014126581748287598,-0.02601343784872096,0.001487923454840499,0.007759022114531142,-0.010605650653332167,SLEEP_COUNT,4
16,16,-0.00853211038584709,-0.01987724869384723,0.0031219173080900752,0.005681879237568761,0.0025574349447587763,-0.01306287990321791,0.015337664184205263,0.006155138837623893,-0.017150885626343274,-0.03149210366718586,-0.0037752944629219367,0.008407630488699249,-0.014593450681584498,SLEEP_COUNT,4
17,17,-0.008440974450642862,-0.019285007789157663,0.002481391367680827,0.005591730854508371,-0.000792014508415519,-0.0071156619869689585,0.003960324757430738,0.00263793710972269,-0.0060996490437554805,-0.030831242444795442,0.015296232318741006,0.011287155109983463,-0.006891663552170999,SLEEP_COUNT,4
18,18,-0.009221155879702334,-0.019143619215696555,0.0008407004581978406,0.005467150703647472,-0.008476737704346359,-0.022992527699124805,0.007473041237512069,0.00796802104546544,-0.014787683898426456,-0.0343444630321956,0.0018750076390774847,0.0093744906611942,-0.023264421602772815,SLEEP_COUNT,4
19,19,-0.010158962679779818,-0.019780030193956785,-0.00039543494538081753,0.0053564011950094905,0.0015744849987319274,-0.0029841042300202576,0.007917117848583295,0.002700582748387762,-0.02955177687998397,-0.04883910380335356,-0.006762603607835222,0.011333211439491677,-0.02797729188125204,SLEEP_COUNT,4
20,20,-0.010755894201240249,-0.020883125947248064,-0.0011286471001960507,0.005309210661439455,-0.006816166058647874,-0.03238830193029836,0.017735385879043088,0.01356937421092776,-0.015878358571800998,-0.028565282185625356,2.9199623291810633e-05,0.00852668080936381,-0.02269452463044887,SLEEP_COUNT,4
21,21,-0.011173738940394458,-0.021090919323627118,-0.0016665420568815932,0.005317192758817715,-0.001034849021948693,-0.009936588008208467,0.009058051559295238,0.0043850896672560655,-0.018913629440684185,-0.05032244092719124,0.010217212627938337,0.016430296915222978,-0.01994847846263288,SLEEP_COUNT,4
22,22,-0.010653630541160334,-0.020207134711061486,-0.0010294854487330573,0.005279918888330283,0.007515844545244775,-0.0008046608266988912,0.02130033185033889,0.0059087961302599955,-0.006727090303254412,-0.021687927317615995,0.01191258364396323,0.008989860688321586,0.0007887542419903635,SLEEP_COUNT,4
